书名,别名,作者,作者国籍,出版社,出版时间,价格,评价,评价人数,是否可试读,链接
红楼梦,无别名,曹雪芹,清, 人民文学出版社 , 1996-12 , 59.70,都云作者痴，谁解其中味？,366932,可试读,https://book.douban.com/subject/1007305/
活着,无别名,余华 ,中, 作家出版社 , 2012-8-1 , 20.00,生的苦难与伟大,682644,可试读,https://book.douban.com/subject/4913064/
1984,Nineteen Eighty-Four,乔治·奥威尔刘绍铭,英, 北京十月文艺出版社 , 2010-4-1 , 28.00,栗树荫下，我出卖你，你出卖我,235328,不可试读,https://book.douban.com/subject/4820710/
百年孤独,Cien años de soledad,加西亚·马尔克斯范晔,哥伦比亚, 南海出版公司 , 2011-6 , 39.50,魔幻现实主义文学代表作,371052,不可试读,https://book.douban.com/subject/6082808/
三体全集,  地球往事三部曲 ,刘慈欣 ,中, 重庆出版社 , 2012-1-1 , 168.00,地球往事三部曲,130113,不可试读,https://book.douban.com/subject/6518605/
飘,Gone with the Wind,玛格丽特·米切尔李美华,美国, 译林出版社 , 2000-9 , 40.00,革命时期的爱情，随风而逝,191647,不可试读,https://book.douban.com/subject/1068920/
哈利·波特,Harry Potter,J.K.罗琳 (J.K.Rowling)  苏农 ,中, 人民文学出版社 , 2008-12-1 , 498.00,从9¾站台开始的旅程,68664,不可试读,https://book.douban.com/subject/24531956/
三国演义（全二册）,无别名,罗贯中,明, 人民文学出版社 , 1998-05 , 39.50,是非成败转头空,148426,可试读,https://book.douban.com/subject/1019568/
房思琪的初恋乐园,无别名,林奕含 ,中, 北京联合出版公司 , 2018-2 , 45.00,向死而生的文学绝唱,302595,可试读,https://book.douban.com/subject/27614904/
动物农场,Animal Farm,乔治·奥威尔荣如德,英, 上海译文出版社 , 2007-3 , 10.00,太阳底下并无新事,130151,不可试读,https://book.douban.com/subject/2035179/
福尔摩斯探案全集（上中下）,无别名,阿·柯南道尔丁钟华等群众出版社,英, 1981-8 , 53.00元,68.00,名侦探的代名词,116919,不可试读,https://book.douban.com/subject/1040211/
白夜行,无别名,东野圭吾刘姿君,日, 南海出版公司 , 2013-1-1 , 39.50,一宗离奇命案牵出跨度近20年步步惊心的故事,386156,不可试读,https://book.douban.com/subject/10554308/
小王子,Le Petit Prince,圣埃克苏佩里马振聘,法, 人民文学出版社 , 2003-8 , 22.00,献给长成了大人的孩子们,684171,不可试读,https://book.douban.com/subject/1084336/
天龙八部,无别名,金庸 ,中, 生活·读书·新知三联书店 , 1994-5 , 96.00,有情皆孽，无人不冤,120472,不可试读,https://book.douban.com/subject/1255625/
安徒生童话故事集,无别名,（丹麦）安徒生  叶君健 ,中, 人民文学出版社 , 1997-08 , 25.00,为了争取未来的一代,113584,不可试读,https://book.douban.com/subject/1046209/
撒哈拉的故事,无别名,三毛 ,中, 哈尔滨出版社 , 2003-8 , 15.80,游荡的自由灵魂,136622,不可试读,https://book.douban.com/subject/1060068/
杀死一只知更鸟,To Kill a Mocking Bird,哈珀·李高红梅,美, 译林出版社 , 2012-9 , 32.00,有一种东西不能遵循从众原则，那就是——人的良心,117948,可试读,https://book.douban.com/subject/6781808/
呐喊,无别名,鲁迅 ,中, 人民文学出版社 , 1973-3 , 0.36,新文学的第一声呐喊,132367,不可试读,https://book.douban.com/subject/1449351/
明朝那些事儿（1-9）,  限量版 ,当年明月 ,中, 中国海关出版社 , 2009-4 , 358.20,不拘一格的历史书写,136036,不可试读,https://book.douban.com/subject/3674537/
沉默的大多数,  王小波杂文随笔全编 ,王小波 ,中, 中国青年出版社 , 1997-10 , 27.00,沉默是沉默者的通行证,131852,不可试读,https://book.douban.com/subject/1054685/
局外人,L'Etranger,阿尔贝·加缪柳鸣九,法, 上海译文出版社 , 2010-8 , 22.00,人生在世，永远也不该演戏作假,193233,不可试读,https://book.douban.com/subject/4908885/
失踪的孩子,  那不勒斯四部曲4 ,埃莱娜·费兰特陈英,意, 人民文学出版社 , 2018-7 , 62.00,我的整个生命，只是一场为了提升社会地位的低俗斗争。,58394,可试读,https://book.douban.com/subject/30172069/
中国历代政治得失,无别名,钱穆 ,中, 生活·读书·新知三联书店 , 2001 , 12.00,一部简明的“中国政治制度史”,58124,不可试读,https://book.douban.com/subject/1003479/
新名字的故事,  那不勒斯四部曲2 ,埃莱娜·费兰特陈英,意, 人民文学出版社 , 2017-4 , 59.00,探索青年时代的激情、困惑、挣扎、背叛和失去,69097,可试读,https://book.douban.com/subject/26986954/
人类简史,  从动物到上帝 ,尤瓦尔·赫拉利林俊宏,以色列, 中信出版社 , 2014-11 , 68.00,跟着人类一同走过十万年,172112,可试读,https://book.douban.com/subject/25985021/
平凡的世界（全三部）,无别名,路遥 ,中, 人民文学出版社 , 2005-1 , 64.00,中国当代城乡生活全景,295267,不可试读,https://book.douban.com/subject/1200840/
围城,无别名,钱锺书 ,中, 人民文学出版社 , 1991-2 , 19.00,幽默的语言和对生活深刻的观察,419595,不可试读,https://book.douban.com/subject/1008145/
笑傲江湖（全四册）,无别名,金庸 ,中, 生活·读书·新知三联书店 , 1994-5 , 76.80,欲练此功，必先自宫,101789,不可试读,https://book.douban.com/subject/1002299/
乡土中国,无别名,费孝通 ,中, 上海人民出版社 , 2006-04-01 , 38.00,中国乡土社会传统文化和社会结构理论研究代表作,64225,不可试读,https://book.douban.com/subject/1795079/
霍乱时期的爱情,El amor en los tiempos del cólera,加西亚·马尔克斯杨玲,哥伦比亚, 南海出版公司 , 2012-9-1 , 39.50,义无反顾地直达爱情的核心,241989,不可试读,https://book.douban.com/subject/10594787/
野草,无别名,鲁迅 ,中, 人民文学出版社 , 1973-3 , 0.20,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。,34489,不可试读,https://book.douban.com/subject/1915958/
白鹿原,  20周年精装典藏版 ,陈忠实 ,中, 人民文学出版社 , 2012-9 , 39.00,一轴关于我们民族灵魂的现实主义画卷,81269,可试读,https://book.douban.com/subject/10564071/
肖申克的救赎,Different Seasons,斯蒂芬·金施寄青,美, 人民文学出版社 , 2006-7 , 29.90,豆瓣电影Top1原著,107401,可试读,https://book.douban.com/subject/1829226/
东方快车谋杀案,Murder on the Orient Express,阿加莎·克里斯蒂陈尧光,英, 人民文学出版社 , 2006-5 , 18.00,谋杀诡计惊人，波洛的抉择耐人寻味,122237,可试读,https://book.douban.com/subject/1827374/
基督山伯爵,Le Comte de Monte-Cristo,大仲马  周克希 ,中, 上海译文出版社 , 1991-12-1 , 43.90,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景,118964,不可试读,https://book.douban.com/subject/1085860/
月亮和六便士,The Moon and Sixpence,毛姆傅惟慈,英, 上海译文出版社 , 2006-8 , 15.00,有多少人会经历顿悟，就有更少的人甘愿自我放逐,182144,不可试读,https://book.douban.com/subject/1858513/
江城,River Town,彼得·海斯勒李雪顺,美, 上海译文出版社 , 2012-1 , 36.00,外国人眼中的涪陵,51082,可试读,https://book.douban.com/subject/7060185/
邓小平时代,Deng Xiaoping and the Transformation of China,傅高义冯克利,美, 生活·读书·新知三联书店 , 2013-1 , 88.00,个人命运背后的历史变局,47612,不可试读,https://book.douban.com/subject/20424526/
我与地坛,  史铁生代表作 ,史铁生 ,中, 春风文艺出版社 , 2002-5 , 25.00,这是你的罪孽与福祉,83771,不可试读,https://book.douban.com/subject/1209899/
